restaurant_id,name,category,style,latitude,longitude,suburb,price_range_AUD,dine_in,google_rating,uber_rating,platforms,opening_hours
R000001,Cozy Garden,Bar,Bar,-33.87342026,151.20633367,SYDNEY,37,no,4.7,4.5,"InHouse,Deliveroo",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000002,Blue Grill,Vietnamese,Family,-33.89890219,151.17516779,NEWTOWN,56,yes,4.1,4.1,Menulog,Mon-Sun 10:00-22:00
R000003,Hidden Eatery,Mexican,Bar,-33.88417344,151.1733291,ANNANDALE,21,yes,5.0,4.0,"Deliveroo,UberEats,Menulog",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000004,Royal Nook,Vegetarian,Fine Dining,-33.93390486,151.23310449,KINGSFORD,52,no,4.5,3.9,"DoorDash,Deliveroo",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000005,Salted Bar,Italian,Takeaway,-33.93736843,151.16989964,MASCOT,10,yes,4.3,3.7,InHouse,Mon-Sun 07:00-21:00
R000006,Blue Eatery,Korean,Fusion,-33.90049053,151.23342902,CENTENNIAL PARK,42,yes,5.0,4.5,"UberEats,InHouse,DoorDash",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000007,Happy Garden,Korean,Fine Dining,-33.9128619,151.14399514,MARRICKVILLE,52,yes,3.8,3.5,UberEats,Mon-Sun 07:00-21:00
R000008,Happy House,Chinese,Street Food,-33.86308789,151.20910744,SYDNEY,35,no,4.4,2.6,"Menulog,UberEats,Deliveroo",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000009,Salted Eatery,Thai,Takeaway,-33.90365288,151.1843241,ERSKINEVILLE,10,yes,4.2,4.3,"InHouse,Deliveroo",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000010,Spicy Grill,Vietnamese,Casual,-33.87678499,151.20601491,SYDNEY,37,no,4.3,4.9,"Deliveroo,DoorDash",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000011,Green Grill,Mexican,Street Food,-33.91527399,151.17329577,ST PETERS,33,no,4.3,3.6,"Deliveroo,UberEats",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000012,Local House,Chinese,Casual,-33.96399905,151.19317925,MASCOT,53,yes,3.8,3.7,UberEats,Mon-Sun 10:00-22:00
R000013,Salted Table,Vegetarian,Fine Dining,-33.89368157,151.24175963,BONDI JUNCTION,29,no,4.3,3.3,"InHouse,Deliveroo,DoorDash",Mon-Sun 07:00-21:00
R000014,Lucky Deli,Bar,Cafe,-33.88592376,151.20053282,CHIPPENDALE,50,no,3.7,3.7,"DoorDash,Menulog",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000015,Silver Bistro,Vegetarian,Street Food,-33.90911159,151.17187376,MARRICKVILLE,41,yes,3.5,4.3,"InHouse,DoorDash",Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000016,Royal House,Korean,Fine Dining,-33.92232062,151.23590904,RANDWICK,33,no,3.8,3.6,UberEats,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000017,Local Spoon,Thai,Takeaway,-33.91678412,151.23007194,KENSINGTON,40,yes,4.8,4.3,Deliveroo,Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000018,Lucky Bistro,Cafe,Bar,-33.90621852,151.18559824,ERSKINEVILLE,11,no,4.1,3.8,"Menulog,UberEats",Mon-Sun 07:00-21:00
R000019,Sweet Bistro,Thai,Casual,-33.92173221,151.22265075,KINGSFORD,32,yes,3.7,3.4,"Menulog,UberEats",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000020,Sizzle Kitchen,Fast Food,Street Food,-33.87562817,151.21583345,DARLINGHURST,9,no,3.0,3.9,Menulog,Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
R000021,Silver Nook,Italian,Street Food,-33.88800679,151.23864079,WOOLLAHRA,42,yes,4.2,4.2,Menulog,Mon-Sun 07:00-21:00
R000022,Golden Bistro,Bakery,Cafe,-33.9037742,151.22637195,CENTENNIAL PARK,38,yes,3.9,4.3,UberEats,Mon-Fri 06:00-15:00; Sat-Sun 07:00-15:00
R000023,Local Fork,Vietnamese,Family,-33.89051218,151.20798055,REDFERN,61,yes,4.8,4.2,"InHouse,Deliveroo",Mon-Sun 10:00-22:00
R000024,Sweet Fork,Chinese,Casual,-33.93035948,151.19736542,MASCOT,51,yes,4.3,3.8,Deliveroo,Mon-Sun 10:00-22:00
R000025,Local Bar,Chinese,Family,-33.86755402,151.15744609,LILYFIELD,32,yes,3.2,4.8,"InHouse,UberEats",Mon-Fri 08:00-17:00; Sat-Sun 08:00-14:00
R000026,Blue Spoon,Fast Food,Fine Dining,-33.9373,151.16176485,MASCOT,36,yes,4.7,3.8,"Deliveroo,UberEats",Mon-Thu 11:00-22:00; Fri-Sat 11:00-23:00; Sun 11:00-21:00
