year,suburb,category,total_count,avg_rating,avg_price_AUD,share_within_suburb
2015,ALEXANDRIA,Bakery,4,3.87,30.79,0.03508771929824561
2015,ALEXANDRIA,Bar,4,3.801,28.51,0.03508771929824561
2015,ALEXANDRIA,Cafe,8,3.524,35.01,0.07017543859649122
2015,ALEXANDRIA,Chinese,3,3.814,31.53,0.02631578947368421
2015,ALEXANDRIA,Fast Food,5,3.745,26.91,0.043859649122807015
2015,ALEXANDRIA,Indian,11,3.903,35.77,0.09649122807017543
2015,ALEXANDRIA,Italian,7,3.673,27.38,0.06140350877192982
2015,ALEXANDRIA,Japanese,8,3.76,30.79,0.07017543859649122
2015,ALEXANDRIA,Korean,9,4.038,27.71,0.07894736842105263
2015,ALEXANDRIA,Mediterranean,7,3.767,31.26,0.06140350877192982
2015,ALEXANDRIA,Mexican,8,4.044,38.13,0.07017543859649122
2015,ALEXANDRIA,Modern Australian,15,3.45,29.88,0.13157894736842105
2015,ALEXANDRIA,Seafood,10,3.915,25.07,0.08771929824561403
2015,ALEXANDRIA,Thai,4,4.041,26.33,0.03508771929824561
2015,ALEXANDRIA,Vegetarian,7,3.701,34.58,0.06140350877192982
2015,ALEXANDRIA,Vietnamese,4,3.578,31.6,0.03508771929824561
2015,ANNANDALE,Bakery,4,4.165,29.7,0.0625
2015,ANNANDALE,Bar,8,3.957,28.85,0.125
2015,ANNANDALE,Cafe,3,3.846,28.88,0.046875
2015,ANNANDALE,Chinese,1,4.171,46.64,0.015625
2015,ANNANDALE,Fast Food,4,3.823,25.41,0.0625
2015,ANNANDALE,Indian,3,3.977,21.46,0.046875
2015,ANNANDALE,Italian,6,3.961,29.84,0.09375
2015,ANNANDALE,Japanese,1,4.077,44.98,0.015625
2015,ANNANDALE,Korean,3,3.893,19.67,0.046875
2015,ANNANDALE,Mediterranean,5,4.064,29.62,0.078125
2015,ANNANDALE,Mexican,14,4.143,34.34,0.21875
2015,ANNANDALE,Modern Australian,1,3.918,25.2,0.015625
2015,ANNANDALE,Seafood,1,3.856,31.44,0.015625
2015,ANNANDALE,Thai,4,3.748,27.25,0.0625
2015,ANNANDALE,Vegetarian,5,3.906,29.38,0.078125
2015,ANNANDALE,Vietnamese,1,3.874,23.46,0.015625
2015,BALMAIN,Bakery,4,3.712,31.75,0.07017543859649122
2015,BALMAIN,Bar,4,3.859,29.09,0.07017543859649122
2015,BALMAIN,Cafe,1,3.576,14.62,0.017543859649122806
2015,BALMAIN,Chinese,4,4.228,33.11,0.07017543859649122
2015,BALMAIN,Fast Food,2,3.877,40.05,0.03508771929824561
2015,BALMAIN,Indian,6,3.884,19.97,0.10526315789473684
2015,BALMAIN,Italian,1,3.716,36.8,0.017543859649122806
2015,BALMAIN,Japanese,4,3.924,20.55,0.07017543859649122
2015,BALMAIN,Korean,11,3.948,26.64,0.19298245614035087
2015,BALMAIN,Mediterranean,3,4.384,18.44,0.05263157894736842
2015,BALMAIN,Mexican,2,4.04,23.25,0.03508771929824561
2015,BALMAIN,Modern Australian,4,3.492,30.34,0.07017543859649122
2015,BALMAIN,Seafood,1,4.013,41.47,0.017543859649122806
2015,BALMAIN,Thai,2,3.823,36.12,0.03508771929824561
2015,BALMAIN,Vegetarian,4,4.15,27.87,0.07017543859649122
2015,BALMAIN,Vietnamese,4,3.801,25.83,0.07017543859649122
2015,BALMAIN EAST,Bakery,1,4.144,43.48,0.0625
2015,BALMAIN EAST,Bar,3,4.183,30.02,0.1875
2015,BALMAIN EAST,Cafe,1,2.952,18.56,0.0625
2015,BALMAIN EAST,Italian,1,4.274,8.68,0.0625
2015,BALMAIN EAST,Korean,2,3.358,26.08,0.125
2015,BALMAIN EAST,Mediterranean,1,4.631,18.84,0.0625
2015,BALMAIN EAST,Modern Australian,1,3.033,43.53,0.0625
2015,BALMAIN EAST,Seafood,1,3.569,57.3,0.0625
2015,BALMAIN EAST,Thai,3,4.202,32.26,0.1875
2015,BALMAIN EAST,Vietnamese,2,3.694,31.49,0.125
2015,BARANGAROO,Chinese,1,3.724,25.44,0.1
2015,BARANGAROO,Fast Food,3,3.755,34.97,0.3
2015,BARANGAROO,Indian,1,3.995,23.59,0.1
2015,BARANGAROO,Italian,1,4.479,35.92,0.1
2015,BARANGAROO,Mediterranean,2,3.711,10.91,0.2
2015,BARANGAROO,Mexican,1,3.979,51.81,0.1
2015,BARANGAROO,Thai,1,4.009,43.19,0.1
2015,BEACONSFIELD,Fast Food,1,4.218,26.1,0.3333333333333333
2015,BEACONSFIELD,Thai,1,4.059,36.83,0.3333333333333333
2015,BEACONSFIELD,Vietnamese,1,3.599,43.69,0.3333333333333333
2015,BONDI JUNCTION,Bakery,1,4.067,22.68,0.03125
2015,BONDI JUNCTION,Bar,4,3.899,26.17,0.125
2015,BONDI JUNCTION,Cafe,1,3.476,36.45,0.03125
2015,BONDI JUNCTION,Chinese,1,4.062,35.48,0.03125
2015,BONDI JUNCTION,Fast Food,2,3.751,32.88,0.0625
2015,BONDI JUNCTION,Indian,2,3.986,34.47,0.0625
2015,BONDI JUNCTION,Italian,1,4.354,37.83,0.03125
2015,BONDI JUNCTION,Japanese,1,3.828,30.88,0.03125
2015,BONDI JUNCTION,Korean,1,3.638,37.4,0.03125
2015,BONDI JUNCTION,Mediterranean,5,4.04,36.96,0.15625
2015,BONDI JUNCTION,Mexican,3,3.77,23.17,0.09375
2015,BONDI JUNCTION,Modern Australian,1,3.708,19.94,0.03125
2015,BONDI JUNCTION,Seafood,1,4.25,49.36,0.03125
2015,BONDI JUNCTION,Thai,2,4.08,20.95,0.0625
2015,BONDI JUNCTION,Vegetarian,4,3.666,20.42,0.125
2015,BONDI JUNCTION,Vietnamese,2,3.896,33.07,0.0625
2015,CAMPERDOWN,Bar,2,4.047,20.16,0.03571428571428571
2015,CAMPERDOWN,Cafe,2,3.89,32.17,0.03571428571428571
2015,CAMPERDOWN,Chinese,1,3.618,32.99,0.017857142857142856
2015,CAMPERDOWN,Fast Food,6,3.76,26.28,0.10714285714285714
2015,CAMPERDOWN,Indian,4,3.719,21.37,0.07142857142857142
2015,CAMPERDOWN,Italian,7,3.814,25.41,0.125
2015,CAMPERDOWN,Japanese,5,4.052,20.05,0.08928571428571429
2015,CAMPERDOWN,Korean,7,3.504,23.64,0.125
2015,CAMPERDOWN,Mediterranean,2,3.548,24.21,0.03571428571428571
2015,CAMPERDOWN,Mexican,1,3.874,28.67,0.017857142857142856
2015,CAMPERDOWN,Modern Australian,2,3.888,18.05,0.03571428571428571
2015,CAMPERDOWN,Seafood,5,3.836,27.84,0.08928571428571429
2015,CAMPERDOWN,Thai,9,3.956,36.18,0.16071428571428573
2015,CAMPERDOWN,Vegetarian,2,4.257,26.23,0.03571428571428571
2015,CAMPERDOWN,Vietnamese,1,4.117,26.97,0.017857142857142856
2015,CENTENNIAL PARK,Bakery,6,3.734,28.86,0.08333333333333333
2015,CENTENNIAL PARK,Bar,3,3.842,24.26,0.041666666666666664
2015,CENTENNIAL PARK,Cafe,2,3.959,30.87,0.027777777777777776
2015,CENTENNIAL PARK,Chinese,3,3.94,27.72,0.041666666666666664
2015,CENTENNIAL PARK,Fast Food,6,3.979,29.23,0.08333333333333333
2015,CENTENNIAL PARK,Indian,5,3.847,27.48,0.06944444444444445
2015,CENTENNIAL PARK,Italian,2,4.129,27.64,0.027777777777777776
2015,CENTENNIAL PARK,Japanese,9,4.092,35.11,0.125
2015,CENTENNIAL PARK,Korean,1,3.942,31.23,0.013888888888888888
2015,CENTENNIAL PARK,Mediterranean,5,3.715,29.27,0.06944444444444445
2015,CENTENNIAL PARK,Mexican,7,4.244,28.53,0.09722222222222222
2015,CENTENNIAL PARK,Modern Australian,5,3.714,16.92,0.06944444444444445
2015,CENTENNIAL PARK,Seafood,4,3.831,26.93,0.05555555555555555
2015,CENTENNIAL PARK,Thai,5,3.997,28.12,0.06944444444444445
2015,CENTENNIAL PARK,Vegetarian,3,3.577,41.27,0.041666666666666664
2015,CENTENNIAL PARK,Vietnamese,6,4.026,23.56,0.08333333333333333
2015,CHIPPENDALE,Bakery,1,3.697,30.12,0.05
2015,CHIPPENDALE,Bar,1,3.712,29.47,0.05
2015,CHIPPENDALE,Fast Food,2,4.093,40.64,0.1
2015,CHIPPENDALE,Italian,1,3.612,35.5,0.05
2015,CHIPPENDALE,Japanese,1,4.096,17.86,0.05
2015,CHIPPENDALE,Korean,2,4.046,15.15,0.1
2015,CHIPPENDALE,Mediterranean,2,4.202,18.27,0.1
2015,CHIPPENDALE,Mexican,1,3.497,16.11,0.05
2015,CHIPPENDALE,Modern Australian,6,3.848,20.28,0.3
2015,CHIPPENDALE,Seafood,1,4.178,27.32,0.05
2015,CHIPPENDALE,Thai,1,3.954,25.03,0.05
2015,CHIPPENDALE,Vegetarian,1,4.87,23.91,0.05
2015,DARLING POINT,Bakery,5,4.443,27.28,0.13513513513513514
2015,DARLING POINT,Bar,2,3.958,25.51,0.05405405405405406
2015,DARLING POINT,Chinese,1,3.73,50.87,0.02702702702702703
2015,DARLING POINT,Fast Food,4,4.278,28.43,0.10810810810810811
2015,DARLING POINT,Indian,4,3.745,35.26,0.10810810810810811
2015,DARLING POINT,Italian,1,3.795,46.1,0.02702702702702703
2015,DARLING POINT,Japanese,1,3.424,35.59,0.02702702702702703
2015,DARLING POINT,Korean,1,3.732,30.14,0.02702702702702703
